Date (Tarih) ,Temperature (Sıcaklık) (°C) ,Dew Point (Çiğ Noktası) (°C) ,Humidity (Nem) % ,Wind Speed (Rüzgar Hızı) (mph) ,Pressure (Basınç) (in) ,Wind (Rüzgar Yönü) ,Condition (Durum)
2014-01-16   ,12.92                       ,5.55                         ,           62.83 ,                          3.85 ,                 29.68 ,Değişken           ,Çoğunlukla Bulutlu
2014-01-17   ,11.46                       ,8.6                          ,           84.31 ,                          3.47 ,                 29.78 ,Değişken           ,Çoğunlukla Bulutlu
2014-01-18   ,13.21                       ,6.89                         ,           66.04 ,                         10.71 ,                 29.76 ,Batı-Güneybatı     ,Açık
2014-01-19   ,14.13                       ,7.87                         ,           66.75 ,                          8.9  ,                 29.76 ,Güneybatı          ,Açık
2014-01-20   ,13.15                       ,6.19                         ,           64.04 ,                          6.67 ,                 29.65 ,Değişken           ,Açık
2014-01-21   ,14.71                       ,4.23                         ,           51.15 ,                          9.75 ,                 29.54 ,Güneybatı          ,Açık
2014-01-22   ,12.35                       ,7.0                          ,           70.4  ,                         11.21 ,                 29.51 ,Güneybatı          ,Çoğunlukla Bulutlu
2014-01-23   ,11.53                       ,6.3                          ,           70.29 ,                          6.48 ,                 29.69 ,Batı-Güneybatı     ,Çoğunlukla Bulutlu
2014-01-24   ,10.61                       ,6.46                         ,           75.86 ,                          3.9  ,                 29.69 ,Kuzeydoğu          ,Parçalı Bulutlu
2014-01-25   ,12.64                       ,5.02                         ,           61.06 ,                          5.76 ,                 29.37 ,Kuzeydoğu          ,Çoğunlukla Bulutlu
2014-01-26   ,8.95                        ,4.94                         ,           77.06 ,                          8.98 ,                 29.19 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-01-27   ,2.41                        ,-6.19                        ,           90.06 ,                         10.51 ,                 29.27 ,Kuzey              ,Çoğunlukla Bulutlu
2014-01-28   ,5.39                        ,2.98                         ,           84.88 ,                          8.78 ,                 29.35 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-01-29   ,7.68                        ,4.54                         ,           82.62 ,                         13.42 ,                 29.34 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-01-30   ,1.6                         ,-2.55                        ,           80.06 ,                         12.3  ,                 29.98 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-01-31   ,2.66                        ,-2.11                        ,           79.88 ,                         12.37 ,                 30.15 ,Kuzeydoğu          ,Çoğunlukla Bulutlu
2014-02-01   ,4.31                        ,-7.94                        ,           76.96 ,                         13.15 ,                 30.08 ,Kuzeydoğu          ,Çoğunlukla Bulutlu
2014-02-02   ,5.82                        ,-9.16                        ,           67.88 ,                         13.04 ,                 29.87 ,Kuzeydoğu          ,Açık
2014-02-03   ,6.7                         ,-5.09                        ,           62.56 ,                         12.94 ,                 29.84 ,Kuzeydoğu          ,Parçalı Bulutlu
2014-02-04   ,5.74                        ,-8.68                        ,           66.69 ,                         11.1  ,                 29.94 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-02-05   ,4.9                         ,-4.26                        ,           73.96 ,                          7.46 ,                 29.86 ,Kuzeydoğu-Kuzey    ,Açık
2014-02-06   ,4.26                        ,-4.33                        ,           79.1  ,                          5.62 ,                 29.77 ,Kuzeydoğu-Kuzey    ,Açık
2014-02-07   ,3.95                        ,-1.27                        ,           84.5  ,                          5.31 ,                 29.78 ,Kuzeydoğu          ,Açık
2014-02-08   ,9.89                        ,4.28                         ,           70.46 ,                          7.25 ,                 29.74 ,Güneybatı          ,Çoğunlukla Bulutlu
2014-02-09   ,13.84                       ,6.74                         ,           62.24 ,                          9.12 ,                 29.63 ,Güneybatı          ,Çoğunlukla Bulutlu
2014-02-10   ,13.03                       ,7.01                         ,           66.38 ,                         10.44 ,                 29.6  ,Güneybatı          ,Çoğunlukla Bulutlu
2014-02-11   ,12.4                        ,5.28                         ,           63.44 ,                          3.58 ,                 29.72 ,Değişken           ,Açık
2014-02-12   ,13.44                       ,1.76                         ,           54.25 ,                          3.0  ,                 29.65 ,Batı-Güneybatı     ,Açık
2014-02-13   ,13.79                       ,5.14                         ,           57.62 ,                          3.96 ,                 29.59 ,Değişken           ,Açık
2014-02-14   ,12.54                       ,7.79                         ,           74.38 ,                          5.85 ,                 29.48 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-02-15   ,8.15                        ,6.97                         ,           91.65 ,                         11.1  ,                 29.64 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-02-16   ,7.86                        ,4.58                         ,           81.33 ,                          4.42 ,                 29.83 ,Batı-Güneybatı     ,Çoğunlukla Bulutlu
2014-02-17   ,11.68                       ,2.91                         ,           59.27 ,                          7.33 ,                 29.79 ,Batı-Güneybatı     ,Açık
2014-02-18   ,13.06                       ,5.58                         ,           62.17 ,                          8.85 ,                 29.88 ,Batı-Güneybatı     ,Açık
2014-02-19   ,8.11                        ,7.0                          ,           92.86 ,                          6.49 ,                 29.88 ,Güneybatı-Güney    ,Açık
2014-02-20   ,11.68                       ,6.55                         ,           74.92 ,                          8.49 ,                 29.73 ,Güneybatı          ,Açık
2014-02-21   ,11.11                       ,7.31                         ,           78.2  ,                          8.14 ,                 29.67 ,Kuzeydoğu-Kuzey    ,Açık
2014-02-22   ,8.12                        ,5.72                         ,           84.77 ,                          6.6  ,                 29.62 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-02-23   ,8.64                        ,4.1                          ,           73.19 ,                          5.52 ,                 29.69 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-02-24   ,7.07                        ,5.83                         ,           92.04 ,                         11.67 ,                 29.7  ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-02-25   ,6.2                         ,5.09                         ,           93.04 ,                         14.0  ,                 29.75 ,Kuzey              ,Bulutlu
2014-02-26   ,4.14                        ,-0.19                        ,           81.08 ,                          7.67 ,                 29.9  ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-02-27   ,5.37                        ,-3.2                         ,           73.9  ,                          3.58 ,                 29.9  ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-02-28   ,7.74                        ,0.45                         ,           66.27 ,                          2.6  ,                 29.77 ,Kuzeydoğu          ,Çoğunlukla Bulutlu
2014-03-01   ,10.95                       ,2.64                         ,           58.4  ,                          3.04 ,                 29.59 ,Değişken           ,Çoğunlukla Bulutlu
2014-03-02   ,11.98                       ,5.06                         ,           63.33 ,                          7.06 ,                 29.29 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-03-03   ,14.21                       ,4.28                         ,           55.9  ,                          5.69 ,                 29.27 ,Değişken           ,Çoğunlukla Bulutlu
2014-03-04   ,12.86                       ,5.93                         ,           63.53 ,                          5.4  ,                 29.27 ,Batı-Güneybatı     ,Çoğunlukla Bulutlu
2014-03-05   ,13.37                       ,5.28                         ,           62.16 ,                          6.33 ,                 29.42 ,Kuzeydoğu          ,Çoğunlukla Bulutlu
2014-03-06   ,12.64                       ,2.48                         ,           58.21 ,                          6.19 ,                 29.61 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2014-03-07   ,9.41                        ,4.55                         ,           71.98 ,                         14.18 ,                 29.75 ,Kuzeydoğu-Kuzey    ,Açık
2014-03-08   ,7.73                        ,6.83                         ,           92.81 ,                         10.29 ,                 29.71 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-03-09   ,6.48                        ,5.3                          ,           92.69 ,                          9.9  ,                 29.78 ,Kuzey              ,Bulutlu
2014-03-10   ,7.32                        ,6.61                         ,           94.67 ,                         11.55 ,                 29.6  ,Kuzeydoğu-Kuzey    ,Bulutlu
2014-03-11   ,5.56                        ,3.31                         ,           86.42 ,                          7.5  ,                 29.67 ,Kuzey              ,Bulutlu
2014-03-12   ,7.01                        ,1.86                         ,           72.29 ,                          9.21 ,                 29.79 ,Kuzey              ,Çoğunlukla Bulutlu
2014-03-13   ,6.24                        ,0.2                          ,           73.82 ,                          7.86 ,                 29.94 ,Kuzeydoğu-Kuzey    ,Açık
2014-03-14   ,6.59                        ,-2.48                        ,           64.84 ,                          3.88 ,                 29.95 ,Kuzeydoğu          ,Açık
2014-03-15   ,9.66                        ,0.45                         ,           57.71 ,                          5.41 ,                 29.7  ,Batı-Güneybatı     ,Açık
2014-03-16   ,9.76                        ,4.46                         ,           71.18 ,                         12.24 ,                 29.48 ,Batı-Güneybatı     ,Çoğunlukla Bulutlu
2014-03-17   ,11.97                       ,6.78                         ,           70.98 ,                          5.9  ,                 29.61 ,Batı               ,Açık
2014-03-18   ,12.88                       ,5.18                         ,           61.85 ,                          5.17 ,                 29.72 ,Batı-Güneybatı     ,Açık
2014-03-19   ,16.02                       ,3.31                         ,           45.31 ,                          5.52 ,                 29.69 ,Değişken           ,Açık
2014-03-20   ,11.62                       ,5.4                          ,           67.19 ,                          8.54 ,                 29.88 ,Kuzeydoğu-Kuzey    ,Açık
2014-03-21   ,12.22                       ,1.52                         ,           51.92 ,                         10.69 ,                 29.92 ,Kuzeydoğu          ,Açık
2014-03-22   ,13.04                       ,3.23                         ,           52.81 ,                          7.27 ,                 29.73 ,Kuzeydoğu          ,Açık
2014-03-23   ,12.41                       ,5.69                         ,           65.19 ,                          3.46 ,                 29.62 ,Kuzeydoğu          ,Açık
2014-03-24   ,14.76                       ,4.32                         ,           52.06 ,                          3.29 ,                 29.55 ,Rüzgarsız          ,Açık
2014-03-25   ,12.67                       ,6.05                         ,           65.27 ,                          4.94 ,                 29.43 ,Değişken           ,Çoğunlukla Bulutlu
2014-03-26   ,11.87                       ,4.71                         ,           63.27 ,                          3.45 ,                 29.64 ,Değişken           ,Çoğunlukla Bulutlu
2014-03-27   ,14.09                       ,7.62                         ,           67.98 ,                          5.17 ,                 29.69 ,Değişken           ,Çoğunlukla Bulutlu
2014-03-28   ,12.85                       ,7.67                         ,           72.45 ,                          6.51 ,                 29.52 ,Kuzeydoğu          ,Parçalı Bulutlu
2014-03-29   ,8.71                        ,4.12                         ,           74.24 ,                         11.61 ,                 29.67 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-03-30   ,6.01                        ,-4.49                        ,           48.5  ,                          9.02 ,                 29.84 ,Kuzeydoğu-Kuzey    ,Açık
2014-03-31   ,8.26                        ,-1.63                        ,           52.69 ,                          3.98 ,                 29.63 ,Kuzeydoğu          ,Açık
2014-04-01   ,11.42                       ,2.25                         ,           57.23 ,                          5.44 ,                 29.51 ,Batı-Güneybatı     ,Açık
2014-04-02   ,12.01                       ,5.76                         ,           66.06 ,                          8.44 ,                 29.6  ,Kuzeydoğu-Kuzey    ,Açık
2014-04-03   ,11.47                       ,4.77                         ,           65.38 ,                          9.79 ,                 29.69 ,Kuzeydoğu-Kuzey    ,Açık
2014-04-04   ,14.4                        ,5.19                         ,           56.19 ,                          5.62 ,                 29.63 ,Batı-Güneybatı     ,Açık
2014-04-05   ,16.89                       ,4.77                         ,           51.77 ,                          3.75 ,                 29.63 ,Değişken           ,Çoğunlukla Bulutlu
2014-04-06   ,14.0                        ,6.45                         ,           62.1  ,                         15.42 ,                 29.65 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-04-07   ,9.88                        ,6.16                         ,           77.44 ,                         12.67 ,                 29.64 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-04-08   ,10.92                       ,4.66                         ,           66.75 ,                          5.46 ,                 29.71 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-04-09   ,12.8                        ,5.02                         ,           61.15 ,                          3.38 ,                 29.62 ,Rüzgarsız          ,Açık
2014-04-10   ,13.48                       ,6.34                         ,           64.8  ,                          7.31 ,                 29.5  ,Kuzeydoğu-Kuzey    ,Açık
2014-04-11   ,10.72                       ,8.27                         ,           85.58 ,                          6.38 ,                 29.6  ,Güneybatı          ,Çoğunlukla Bulutlu
2014-04-12   ,9.59                        ,5.94                         ,           78.57 ,                          5.88 ,                 29.69 ,Güneybatı          ,Çoğunlukla Bulutlu
2014-04-13   ,11.91                       ,4.41                         ,           63.94 ,                          4.52 ,                 29.69 ,Batı-Güneybatı     ,Açık
2014-04-14   ,12.12                       ,3.53                         ,           58.21 ,                          5.33 ,                 29.67 ,Kuzeydoğu          ,Açık
2014-04-15   ,14.59                       ,2.23                         ,           47.67 ,                          4.21 ,                 29.56 ,Kuzeydoğu          ,Açık
2014-04-16   ,16.98                       ,3.62                         ,           42.73 ,                          4.54 ,                 29.53 ,Değişken           ,Açık
2014-04-17   ,14.99                       ,6.24                         ,           58.23 ,                          8.81 ,                 29.48 ,Kuzeydoğu-Kuzey    ,Açık
2014-04-18   ,12.65                       ,7.84                         ,           74.49 ,                          9.11 ,                 29.36 ,Batı-Güneybatı     ,Çoğunlukla Bulutlu
2014-04-19   ,14.53                       ,4.92                         ,           53.94 ,                          5.98 ,                 29.54 ,Değişken           ,Parçalı Bulutlu
2014-04-20   ,15.47                       ,6.3                          ,           55.9  ,                          6.46 ,                 29.63 ,Güney              ,Çoğunlukla Bulutlu
2014-04-21   ,15.73                       ,7.82                         ,           62.52 ,                          3.79 ,                 29.66 ,Rüzgarsız          ,Açık
2014-04-22   ,19.25                       ,8.18                         ,           50.94 ,                          4.42 ,                 29.63 ,Kuzeydoğu          ,Açık
2014-04-23   ,19.36                       ,10.62                        ,           57.98 ,                          4.35 ,                 29.7  ,Güneybatı          ,Çoğunlukla Bulutlu
2014-04-24   ,18.42                       ,11.33                        ,           64.16 ,                          9.36 ,                 29.54 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-04-25   ,15.48                       ,11.13                        ,           76.39 ,                          8.11 ,                 29.43 ,Kuzeydoğu          ,Açık
2014-04-26   ,13.68                       ,10.14                        ,           78.75 ,                          6.48 ,                 29.54 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-04-27   ,14.41                       ,10.75                        ,           79.22 ,                          8.76 ,                 29.5  ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-04-28   ,13.89                       ,11.56                        ,           86.06 ,                          6.63 ,                 29.4  ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-04-29   ,15.87                       ,10.48                        ,           70.39 ,                         10.27 ,                 29.43 ,Batı-Güneybatı     ,Çoğunlukla Bulutlu
2014-04-30   ,15.04                       ,9.36                         ,           69.22 ,                          5.26 ,                 29.42 ,Güney              ,Çoğunlukla Bulutlu
2014-05-01   ,15.33                       ,8.72                         ,           66.16 ,                          5.82 ,                 29.47 ,Batı-Güneybatı     ,Çoğunlukla Bulutlu
2014-05-02   ,16.86                       ,10.01                        ,           65.81 ,                          5.65 ,                 29.5  ,Batı-Güneybatı     ,Parçalı Bulutlu
2014-05-03   ,18.07                       ,9.37                         ,           59.06 ,                          4.23 ,                 29.53 ,Kuzeydoğu          ,Açık
2014-05-04   ,18.64                       ,11.17                        ,           62.82 ,                          5.88 ,                 29.37 ,Güney              ,Çoğunlukla Bulutlu
2014-05-05   ,16.11                       ,11.78                        ,           75.56 ,                          9.54 ,                 29.47 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2014-05-06   ,13.34                       ,9.52                         ,           78.86 ,                         14.12 ,                 29.77 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-05-07   ,12.32                       ,7.86                         ,           75.19 ,                         13.0  ,                 29.82 ,Kuzeydoğu          ,Açık
2014-05-08   ,12.82                       ,8.57                         ,           76.54 ,                         11.56 ,                 29.67 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-05-09   ,12.74                       ,11.38                        ,           90.33 ,                          9.1  ,                 29.45 ,Kuzeydoğu-Kuzey    ,29.43
2014-05-10   ,13.18                       ,12.26                        ,           92.3  ,                          8.38 ,                 29.52 ,Batı-Güneybatı     ,Hafif Yağmur
2014-05-11   ,14.82                       ,12.06                        ,           82.94 ,                          5.31 ,                 29.63 ,Güneybatı          ,Çoğunlukla Bulutlu
2014-05-12   ,18.66                       ,10.56                        ,           61.52 ,                          4.56 ,                 29.58 ,Güneybatı          ,Açık
2014-05-13   ,17.82                       ,12.01                        ,           69.8  ,                          9.44 ,                 29.65 ,Kuzeydoğu-Kuzey    ,Açık
2014-05-14   ,22.03                       ,11.45                        ,           54.88 ,                          5.24 ,                 29.45 ,Güneydoğu-Güney    ,Çoğunlukla Bulutlu
2014-05-15   ,19.97                       ,9.31                         ,           51.44 ,                         10.92 ,                 29.36 ,Batı-Güneybatı     ,Çoğunlukla Bulutlu
2014-05-16   ,18.77                       ,6.6                          ,           48.31 ,                          4.75 ,                 29.51 ,Batı               ,Açık
2014-05-17   ,18.73                       ,7.59                         ,           50.9  ,                          9.44 ,                 29.63 ,Batı-Güneybatı     ,Açık
2014-05-18   ,17.38                       ,8.33                         ,           58.9  ,                          5.83 ,                 29.73 ,Batı-Güneybatı     ,Açık
2014-05-19   ,18.26                       ,8.46                         ,           54.56 ,                          5.62 ,                 29.75 ,Kuzeydoğu-Kuzey    ,Açık
2014-05-20   ,18.16                       ,7.85                         ,           53.54 ,                         12.15 ,                 29.7  ,Kuzeydoğu-Kuzey    ,Açık
2014-05-21   ,17.97                       ,10.71                        ,           66.16 ,                         10.5  ,                 29.7  ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2014-05-22   ,18.62                       ,12.58                        ,           69.06 ,                          6.92 ,                 29.64 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2014-05-23   ,18.75                       ,13.05                        ,           71.08 ,                          6.69 ,                 29.58 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2014-05-24   ,18.28                       ,13.23                        ,           75.02 ,                          5.04 ,                 29.62 ,Kuzeydoğu          ,Parçalı Bulutlu
2014-05-25   ,20.04                       ,13.14                        ,           66.35 ,                          5.67 ,                 29.67 ,Kuzeydoğu          ,Açık
2014-05-26   ,21.19                       ,12.43                        ,           60.29 ,                          4.38 ,                 29.62 ,Güneybatı          ,Açık
2014-05-27   ,21.83                       ,12.81                        ,           58.0  ,                          4.71 ,                 29.51 ,Güneybatı          ,Açık
2014-05-28   ,23.19                       ,12.88                        ,           54.85 ,                          4.73 ,                 29.47 ,Batı-Güneybatı     ,Açık
2014-05-29   ,24.93                       ,12.77                        ,           49.48 ,                          4.79 ,                 29.44 ,Değişken           ,Çoğunlukla Bulutlu
2014-05-30   ,20.53                       ,13.55                        ,           65.44 ,                          5.7  ,                 29.38 ,Değişken           ,Çoğunlukla Bulutlu
2014-05-31   ,17.67                       ,13.73                        ,           77.96 ,                         12.39 ,                 29.4  ,Batı-Güneybatı     ,Çoğunlukla Bulutlu
2014-06-01   ,17.89                       ,13.74                        ,           77.82 ,                          5.93 ,                 29.49 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-06-02   ,17.44                       ,13.35                        ,           78.16 ,                          4.89 ,                 29.55 ,Kuzeydoğu          ,Çoğunlukla Bulutlu
2014-06-03   ,18.37                       ,13.31                        ,           73.83 ,                          5.71 ,                 29.63 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-06-04   ,19.62                       ,14.95                        ,           74.87 ,                          9.98 ,                 29.42 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-06-05   ,18.04                       ,15.36                        ,           84.09 ,                          5.87 ,                 29.41 ,Değişken           ,Çoğunlukla Bulutlu
2014-06-06   ,18.05                       ,16.19                        ,           87.78 ,                          5.13 ,                 29.51 ,Değişken           ,Çoğunlukla Bulutlu
2014-06-07   ,20.43                       ,16.47                        ,           77.68 ,                          6.04 ,                 29.49 ,Kuzey              ,Çoğunlukla Bulutlu
2014-06-08   ,20.93                       ,16.2                         ,           74.58 ,                          7.08 ,                 29.57 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-06-09   ,21.07                       ,16.04                        ,           73.6  ,                         10.33 ,                 29.6  ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2014-06-10   ,22.05                       ,16.17                        ,           71.15 ,                          9.73 ,                 29.64 ,Kuzeydoğu-Kuzey    ,Açık
2014-06-11   ,21.38                       ,16.61                        ,           75.18 ,                          7.61 ,                 29.61 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2014-06-12   ,20.73                       ,14.46                        ,           69.06 ,                          8.25 ,                 29.66 ,Kuzeydoğu          ,Açık
2014-06-13   ,21.93                       ,12.05                        ,           56.56 ,                          4.42 ,                 29.58 ,Güneybatı-Güney    ,Açık
2014-06-14   ,24.13                       ,13.68                        ,           53.83 ,                          5.83 ,                 29.46 ,Kuzeydoğu-Kuzey    ,Açık
2014-06-15   ,23.15                       ,17.39                        ,           71.39 ,                         11.8  ,                 29.54 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2014-06-16   ,22.1                        ,17.55                        ,           76.57 ,                          9.23 ,                 29.6  ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2014-06-17   ,23.33                       ,15.57                        ,           65.1  ,                          5.22 ,                 29.62 ,Batı-Güneybatı     ,Açık
2014-06-18   ,24.84                       ,17.15                        ,           63.9  ,                          7.58 ,                 29.59 ,Kuzeydoğu-Kuzey    ,Açık
2014-06-19   ,23.18                       ,17.48                        ,           72.39 ,                          9.06 ,                 29.42 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2014-06-20   ,20.45                       ,14.27                        ,           68.39 ,                          9.8  ,                 29.36 ,Batı-Güneybatı     ,Çoğunlukla Bulutlu
2014-06-21   ,20.47                       ,12.8                         ,           62.55 ,                          7.18 ,                 29.55 ,Değişken           ,Parçalı Bulutlu
2014-06-22   ,20.24                       ,11.82                        ,           60.44 ,                          6.54 ,                 29.73 ,Güneybatı          ,Açık
2014-06-23   ,21.2                        ,10.61                        ,           53.38 ,                          6.23 ,                 29.8  ,Kuzeydoğu          ,Açık
2014-06-24   ,22.85                       ,10.03                        ,           47.75 ,                          6.75 ,                 29.69 ,Kuzeydoğu          ,Açık
2014-06-25   ,24.69                       ,12.82                        ,           49.92 ,                          4.15 ,                 29.57 ,Değişken           ,Açık
2014-06-26   ,27.29                       ,14.4                         ,           47.69 ,                          7.96 ,                 29.51 ,Kuzeydoğu-Kuzey    ,Açık
2014-06-27   ,25.23                       ,15.2                         ,           54.94 ,                         12.31 ,                 29.59 ,Kuzeydoğu-Kuzey    ,Açık
2014-06-28   ,21.57                       ,14.78                        ,           66.08 ,                         17.64 ,                 29.7  ,Kuzeydoğu          ,Çoğunlukla Bulutlu
2014-06-29   ,21.4                        ,14.49                        ,           65.67 ,                         14.58 ,                 29.69 ,Kuzeydoğu          ,Açık
2014-06-30   ,22.08                       ,16.28                        ,           70.38 ,                         10.46 ,                 29.57 ,Kuzeydoğu-Kuzey    ,Açık
2014-07-01   ,22.52                       ,16.47                        ,           69.52 ,                          7.76 ,                 29.61 ,Kuzeydoğu-Kuzey    ,Açık
2014-07-02   ,22.74                       ,15.25                        ,           64.4  ,                         11.17 ,                 29.79 ,Kuzeydoğu-Kuzey    ,Açık
2014-07-03   ,21.76                       ,15.24                        ,           68.46 ,                         11.24 ,                 29.72 ,Kuzeydoğu-Kuzey    ,Açık
2014-07-04   ,21.43                       ,14.99                        ,           68.1  ,                         11.76 ,                 29.63 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-07-05   ,22.84                       ,15.22                        ,           64.5  ,                         10.81 ,                 29.63 ,Kuzeydoğu-Kuzey    ,Açık
2014-07-06   ,22.9                        ,15.46                        ,           65.27 ,                         11.44 ,                 29.61 ,Kuzeydoğu          ,Açık
2014-07-07   ,23.94                       ,15.94                        ,           65.06 ,                         14.0  ,                 29.62 ,Kuzeydoğu-Kuzey    ,Açık
2014-07-08   ,24.41                       ,16.6                         ,           66.39 ,                         10.92 ,                 29.6  ,Kuzeydoğu          ,Açık
2014-07-09   ,25.25                       ,15.2                         ,           56.88 ,                         10.38 ,                 29.42 ,Kuzeydoğu-Kuzey    ,Açık
2014-07-10   ,25.5                        ,16.44                        ,           59.33 ,                          7.33 ,                 29.37 ,Kuzeydoğu-Kuzey    ,Açık
2014-07-11   ,28.88                       ,12.38                        ,           39.19 ,                          6.65 ,                 29.31 ,Batı-Güneybatı     ,Açık
2014-07-12   ,26.66                       ,14.07                        ,           47.94 ,                          7.12 ,                 29.41 ,Kuzeydoğu-Kuzey    ,Açık
2014-07-13   ,24.76                       ,17.19                        ,           64.02 ,                          6.84 ,                 29.57 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2014-07-14   ,24.4                        ,15.54                        ,           59.96 ,                         10.46 ,                 29.53 ,Kuzeydoğu-Kuzey    ,Açık
2014-07-15   ,24.01                       ,17.12                        ,           68.06 ,                         12.12 ,                 29.45 ,Kuzeydoğu          ,Parçalı Bulutlu
2014-07-16   ,23.64                       ,16.22                        ,           63.96 ,                         12.02 ,                 29.45 ,Kuzeydoğu          ,Çoğunlukla Bulutlu
2014-07-17   ,24.04                       ,16.88                        ,           65.35 ,                          5.22 ,                 29.54 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2014-07-18   ,23.72                       ,16.47                        ,           64.48 ,                          5.02 ,                 29.51 ,Kuzeydoğu-Kuzey    ,Açık
2014-07-19   ,22.69                       ,18.26                        ,           76.8  ,                          6.31 ,                 29.51 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2014-07-20   ,23.88                       ,18.44                        ,           73.26 ,                          7.36 ,                 29.54 ,Kuzey              ,Çoğunlukla Bulutlu
2014-07-21   ,24.61                       ,18.67                        ,           72.23 ,                          6.29 ,                 29.54 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2014-07-22   ,25.69                       ,17.27                        ,           62.1  ,                          8.79 ,                 29.45 ,Kuzeydoğu-Kuzey    ,Açık
2014-07-23   ,26.43                       ,19.58                        ,           68.5  ,                          9.21 ,                 29.37 ,Kuzeydoğu-Kuzey    ,Açık
2014-07-24   ,25.36                       ,19.57                        ,           71.07 ,                          6.65 ,                 29.42 ,Değişken           ,Açık
2014-07-25   ,24.63                       ,19.29                        ,           73.27 ,                          8.63 ,                 29.48 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2014-07-26   ,25.44                       ,19.28                        ,           70.44 ,                          9.23 ,                 29.5  ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2014-07-27   ,24.75                       ,18.99                        ,           70.51 ,                          7.27 ,                 28.99 ,Kuzeydoğu-Kuzey    ,Açık
2014-07-28   ,26.32                       ,20.66                        ,           72.47 ,                          8.82 ,                 29.55 ,Kuzeydoğu-Kuzey    ,Açık
2014-07-29   ,26.47                       ,20.22                        ,           69.6  ,                         10.08 ,                 29.46 ,Kuzeydoğu-Kuzey    ,Açık
2014-07-30   ,25.95                       ,18.79                        ,           66.58 ,                          9.4  ,                 29.51 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2014-07-31   ,26.08                       ,17.35                        ,           61.58 ,                          9.25 ,                 29.44 ,Kuzeydoğu          ,Açık
2014-08-01   ,26.34                       ,18.5                         ,           63.65 ,                         14.06 ,                 29.33 ,Kuzeydoğu-Kuzey    ,Açık
2014-08-02   ,25.47                       ,20.85                        ,           75.91 ,                          8.43 ,                 29.36 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2014-08-03   ,24.17                       ,19.81                        ,           77.23 ,                          4.94 ,                 29.45 ,Güneybatı          ,Çoğunlukla Bulutlu
2014-08-04   ,25.7                        ,20.81                        ,           74.94 ,                          5.9  ,                 29.42 ,Değişken           ,Parçalı Bulutlu
